QUEST_LV_0400_20161005_000001	Kedoran Alliance Merchant Alta	케도라 상단원 알타				
QUEST_LV_0400_20161005_000002	I came here since I was worried, but I won't dare to go in there by myself.{nl}That's why I am asking you.	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.				케도라 상단원 알타
QUEST_LV_0400_20161005_000003	I can't just wonder into places like that you know.{nl}There are monsters just sitting there...	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..				케도라 상단원 알타
QUEST_LV_0400_20161005_000004	There's rumors of the Alembique Legend among the refugees.{nl}I wanted to know the truth.	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.				케도라 상단원 알타
QUEST_LV_0400_20161005_000005	{nl}There might be products that the Alliance is looking for...{nl}Since you were going to explore the cave anyways, it's like hitting two Popolions with one stone.	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.				케도라 상단원 알타
QUEST_LV_0400_20161005_000006	{nl}I'll give you this book as payment.{nl}It'll be better than going in blind will it not?	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.				케도라 상단원 알타
QUEST_LV_0400_20161005_000007	Priest Lintas is correcting the contents of the monument.{nl}The process is taking some time.	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.				사제 린타스
QUEST_LV_0400_20161005_000008	Thanks to you, the monument has been corrected.{nl}We need to check up on the status of Priest Kidas and Brunas.	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.				사제 린타스
QUEST_LV_0400_20161005_000009	Even with the help, a flechette is nowhere to be found.{nl}I should go back to my master after sorting things out a bit in here.	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.				우그니스
QUEST_LV_0400_20161005_000010	Aquilas	아퀼라스				
QUEST_LV_0400_20161005_000011	I came here to learn archery but am just running errands finding that blasted arrow...{nl}If I knew that I had to look for arrows. I would not have started this journey...{nl}	궁술을 배우려고 여기까지 따라왔건만 알려주는 건 별거 없고 화살을 찾으라니..{nl}화살 찾으러 다닌다는 사실만 알았어도 이런 고생길에 나서진 않았을 거야.. {nl}				아퀼라스
