QUEST_LV_0300_20150323_000001	We were deployed here from headquarters to support the Knights of Kaliss.{nl}If you want to know more, head over to our headquarters at Verkti Square.
QUEST_LV_0300_20150323_000002	I've been a merchant all my life. {nl}After Medzio Diena, this seemed like the safest place to be, so I settled here... {nl}But I guess I was wrong.
QUEST_LV_0300_20150323_000003	I've met many Revelators during my travels.{nl}In my opinion... there is something special about them, but it's not just that they're strong.
QUEST_LV_0300_20150323_000004	I'm not blaming the goddesses the and priests.{nl}But I think it's too much when they tell us to just trust them and wait.
QUEST_LV_0300_20150323_000005	The seals in the village are supposed to be sealed - that's why they're called seals, so what's the big deal?{nl} The priests are just trying to scare us for no reason.
QUEST_LV_0300_20150323_000006	The priests don't want everyone to know how important the seals in the village are.{nl} They think that they can just take the burden upon themselves, and then everything will be fine.
QUEST_LV_0300_20150323_000007	Some of the priests want to be truthful and open with the villagers.{nl}At this rate, if something really bad happens..
QUEST_LV_0300_20150323_000008	$The evil energy is making this forest decay into a lifeless place.{nl}It is easily the biggest problem this village is facing.
QUEST_LV_0300_20150323_000009	$Goddess...{nl}Please tell me the seal of the village is really okay...
QUEST_LV_0300_20150323_000010	Demons will continue to target the seal and attack endlessly.{nl}With Goddess Austeja still missing, how long will we be able to last..
QUEST_LV_0300_20150323_000011	It was a mistake for us to try to handle this by ourselves.{nl}From now on, we will tell the villagers the whole truth and include them in a deliberate discussion on how to handle the matter.
QUEST_LV_0300_20150717_000012	Check the Detector's Functionality (1)
QUEST_LV_0300_20150717_000013	Demons, Goddesses, and the Petrified City (1)
QUEST_LV_0300_20150717_000014	Check the Detector's Functionality (2)
QUEST_LV_0300_20150717_000015	Demons, Goddesses, and the Petrified City (2)
QUEST_LV_0300_20150717_000016	Check the Detector's Functionality (3) 
QUEST_LV_0300_20150717_000017	Check the Detector's Functionality (4)
QUEST_LV_0300_20150717_000018	About the Guidance of Souls
QUEST_LV_0300_20150717_000019	Repair the Petrification Detector
QUEST_LV_0300_20150717_000020	Repairing/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	Check the Detector's Functionality (5)
QUEST_LV_0300_20150717_000022	Repairing/MAKING/3/TRACK_BEFORE
QUEST_LV_0300_20150717_000023	Notice/!/One of the parts is not fastened very well{nl}You'll need something like a string to tie it in place!#5
QUEST_LV_0300_20150717_000024	Notice/!/You need to find a string#5
QUEST_LV_0300_20150717_000025	For the Guidance of Souls
QUEST_LV_0300_20150717_000026	Now you can relax
QUEST_LV_0300_20150717_000027	Examining the Device/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	Notice/!/When you touch the device, it feels as if your soul is being sucked out!{nl}You begin to feel weaker and weaker!
QUEST_LV_0300_20150717_000029	Notice/Now you feel reenergized#5
QUEST_LV_0300_20150717_000030	His Only Desire (1)
QUEST_LV_0300_20150717_000031	About The Reason Behind His Deathwish
QUEST_LV_0300_20150717_000032	His Only Desire (3)
QUEST_LV_0300_20150717_000033	His Only Desire (2)
QUEST_LV_0300_20150717_000034	Go to the Cleric Master
QUEST_LV_0300_20150717_000035	Now You Are Unable to Work Together
QUEST_LV_0300_20150717_000036	Destroy the Terminal (1)
QUEST_LV_0300_20150717_000037	About the Mainframe and the Terminal
QUEST_LV_0300_20150717_000038	Avoid the monsters' attacks and destroy the terminal!#5
QUEST_LV_0300_20150717_000039	Destroy the Terminal (2)
QUEST_LV_0300_20150717_000040	$Igniting explosive powder/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000041	$Notice/The terminal was destroyed in the explosion!#5
QUEST_LV_0300_20150717_000042	$Destroy the Terminal (3)
QUEST_LV_0300_20150717_000043	$And Eternal Repose (1)
QUEST_LV_0300_20150717_000044	If You Have Any Final Words
QUEST_LV_0300_20150717_000045	$And Eternal Repose (2)
QUEST_LV_0300_20150717_000046	$Placing the Orb/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000047	$And Eternal Repose (3)
QUEST_LV_0300_20150717_000048	$Greetings
QUEST_LV_0300_20150717_000049	$Notice/It looks like Svitrigaila's wish was granted#5
QUEST_LV_0300_20150717_000050	$Inspect the Detector
QUEST_LV_0300_20150717_000051	$Talk to Kupole Meile
QUEST_LV_0300_20150717_000052	$Talk to Kupole, whom you saved from the Stone Frost.
QUEST_LV_0300_20150717_000053	$Examine the Petrification Detectors
QUEST_LV_0300_20150717_000054	$Check the detectors in areas you haven't been to yet to help Kupole Meile guide the souls safely from the Stone Frost.
QUEST_LV_0300_20150717_000055	$Return to Kupole Meile
QUEST_LV_0300_20150717_000056	$You checked all 4 detectors except the one at the entrance. Now return to Kupole Meile.
QUEST_LV_0300_20150717_000057	$You have something to say about reactivating the malfunctioning detector. Talk to Kupole Meile again.
QUEST_LV_0300_20150717_000058	$Meet Kingdom Army Guard Retia
QUEST_LV_0300_20150717_000059	$Kupole said that the Kingdom Army installed the petrification detectors. Meet Kingdom Army Guard Retia at Verkti Square.
QUEST_LV_0300_20150717_000060	$Talk some more with Kingdom Army Guard Retia about the malfunctioning detector at the Coastal Fortress.
QUEST_LV_0300_20150717_000061	Find a part for the petrification detector
QUEST_LV_0300_20150717_000062	Listen to Kingdom Army Guard Retia and look for the soldiers that were dispatched to the Coastal Fortress. If something has happened to them, you'll have to retrieve the part for the detector from their corpses. Also try hunting the monsters in the area.
QUEST_LV_0300_20150717_000063	Meet Kupole Meile
QUEST_LV_0300_20150717_000064	Unfortunately, the Kingdom Army soldiers did not survive, but you were able to collect all the necessary parts for the detector. Now, go tell Kupole what has happened, and then go repair the petrification detector.
QUEST_LV_0300_20150717_000065	Before you go to repair the petrification detector, talk to Kupole Meile about the situation at hand.
QUEST_LV_0300_20150717_000066	Repair the Petrification Detector
QUEST_LV_0300_20150717_000067	Repair the first petrification detector that wasn't working.
QUEST_LV_0300_20150717_000068	You have defeated all of the monsters that began to attack when you tried to repair the petrification detector. Now you can go back to repairing the petrification detector in peace.
QUEST_LV_0300_20150717_000069	Repair the Third Petrification Detector
