QUEST_JOBSTEP_20150317_000001	The Bokor. You chose a difficult path. {nl}Refer to the instructions in Adventure Journal and make your own doll.
QUEST_JOBSTEP_20150317_000002	You can only get it by yourself. {nl}Check your Adventure Journal on how you can make the doll. 
QUEST_JOBSTEP_20150317_000003	Congratulations, a new Bokor is born. {nl}When I first chose the path of Bokor, I started by creating a doll of my own. 
QUEST_JOBSTEP_20150317_000004	Peltasta Master
QUEST_JOBSTEP_20150317_000005	
QUEST_JOBSTEP_20150317_000006	How can you bear the name of Peltasta if you can't even handle that? 
QUEST_JOBSTEP_20150317_000007	Good. {nl}I hope your new growth leads to you saving the world. 
QUEST_JOBSTEP_20150317_000008	Highland Master
QUEST_JOBSTEP_20150317_000009	
QUEST_JOBSTEP_20150317_000010	Hurry. {nl} It's a simple challenge, but Vubbes are a threat to the Miner's Village.
QUEST_JOBSTEP_20150317_000011	Good work, you've completed your initiation in becoming a Highlander. {Nl} Keep up the hard work and dedication.
QUEST_JOBSTEP_20150317_000012	Pyromancer Master
QUEST_JOBSTEP_20150317_000013	I can see that you want to learn magic from me but I can't teach just anyone. {nl}I will see how well you can assist my research and then decide. 
QUEST_JOBSTEP_20150317_000014	Good work. Thanks to you I can go on to the next step for my research. {nl}I will teach you Pyromancer magic as promised. 
QUEST_JOBSTEP_20150317_000015	Good, you're here. I need you to defeat the evil spirits I summon. {nl}I will record the unique wavelength that is transmitted in the process. 
QUEST_JOBSTEP_20150317_000016	I am researching on the 4th state of matter. {nl}It is impossible without the cooperation of the Bokor Master who deals with the spirits. 
QUEST_JOBSTEP_20150317_000017	Yes, that's great. {nl}Tell the Pyromancer Master that we have all the materials we need. 
QUEST_JOBSTEP_20150317_000018	Good. {nl}That study is being done with the Bokor Master, so go to her and she'll tell you what to do. 
QUEST_JOBSTEP_20150317_000019	Cryomancer Master
QUEST_JOBSTEP_20150317_000020	You want to learn Cryomancer magic from me? {nl}Sure I'll teach you. Only if you take care of something first. 
QUEST_JOBSTEP_20150317_000021	The Pyromancer Master is not around. {nl}Well, it's an easy task.
QUEST_JOBSTEP_20150317_000022	Don't feel guilty about it. You did a good job. {nl}I've got your back from now on, so you don't need to worry. 
QUEST_JOBSTEP_20150317_000023	It's sneaking into the Pyromancer Master's room and opening a box. {nl}And what's inside the box.. Well, you better just kill it off. 
