SKILL_20150317_000001	Attack
SKILL_20150317_000002	[Elite Kepa] 1 time, Physical, Poison Property, Strike
SKILL_20150317_000003	[Rafflesia] Spread Poison
SKILL_20150317_000004	[Rafflesia] Poison Bomb
SKILL_20150317_000005	[Raffly] Physical, Strike, Poison Property, Attack 1 time
SKILL_20150317_000006	[Raffly] Physical, Strike, Poison Property, Jump Attack 1 time
SKILL_20150317_000007	[Puragi] Physical, Strike, Poison Property, Normal Attack 1 time
SKILL_20150317_000008	[Puragi] Physical, Strike, Poison Property, Attack 1 time
SKILL_20150317_000009	[Puragi] Physical, Strike, Poison Property, Stomp 1 time
SKILL_20150317_000010	[Zigri] Normal Attack, Conical AoE
SKILL_20150317_000011	[Zigri] Spinning Strike
SKILL_20150317_000012	[Zigri] Jump and Stomping Shock
SKILL_20150317_000013	[Fisherman] Physical, Strike, Ice Property, Strike with Fishing Rod
SKILL_20150317_000014	[Fisherman] Magic, Buff, Magic, Buff Skill
SKILL_20150317_000015	[Green Pokuborn] Physical, Pierce, Lightning Property, Horn Attack 1 time
SKILL_20150317_000016	[Bushspider] Physical, Strike, Earth Property, Attack 1 time
SKILL_20150317_000017	[Fragaras] Quick bite
SKILL_20150317_000018	[Fragaras] Large Chomp
SKILL_20150317_000019	[Fragaras] Normal Attack, Conical AoE
SKILL_20150317_000020	Basic Normal Attack
SKILL_20150317_000021	[Meduja] Magic, Magic, Lightning Property Attack 1 time
SKILL_20150317_000022	[Gribaru] Physical, Slash, Lightning Property Attack 1 time
SKILL_20150317_000023	[Gribaru] Physical, Slash, Lightning Property Knock-back Attack Attack 1 time
SKILL_20150317_000024	[Bite] Physical, Pierce, Poison Property Attack 1 time,
SKILL_20150317_000025	[Banshee] Magic, Magic, Ice Property, Breath Attack 1 time
SKILL_20150317_000026	[Banshee] Magic, Magic, Ice Property, Ice Pike
SKILL_20150317_000027	[Mini Griba] Physical, Strike, Lightning Property, Two-handed Strike 1 time
SKILL_20150317_000028	[Big Griba] Physical, Strike, Lightning Property, Smash 1 time
SKILL_20150317_000029	[Big Griba] Physical, Strike, Lightning Property,Spread poison 1 time
SKILL_20150317_000030	[Big Griba] Physical, Strike, Lightning Property,Ground Smash 1 time
SKILL_20150317_000031	[Haming] Physical, Strike, Lightning Property, Head Strike
SKILL_20150317_000032	[Haming] Physical, Strike, Lightning Property, Counter Skill
SKILL_20150317_000033	[Haming] Physical, Strike, Lightning Property, Jump and rotating attack
SKILL_20150317_000034	[Truffle] Physical, Strike, Lightning Property, Body Slam
SKILL_20150317_000035	[Truffle] Physical, Strike, Lightning Property, Smash
SKILL_20150317_000036	[Truffle] Physical, Strike, Lightning Property, Body Slam
SKILL_20150317_000037	[Slime_Dark] Physical, Strike, Dark Property, Headbutt
SKILL_20150317_000038	[Slime_Dark] Physical, Strike, Dark Property, Attack 1 time
SKILL_20150317_000039	[Kepa] Physical, Strike, Poison Property, Conical AoE
SKILL_20150317_000040	[Addicted Kepa] Normal Attack, Conical AoE
SKILL_20150317_000041	[Old Kepa] Physical, Strike, Earth Property, Fume Smoke
SKILL_20150317_000042	[Thornball] Physical, Pierce, Poison Property, Conical AoE
SKILL_20150317_000043	[Matsum] Physical, Strike, Fire Property, Conical AoE
SKILL_20150317_000044	[Sakmoli] Magic, Strike, Ice Property. Normal Attack 1 time
SKILL_20150317_000045	[Sakmoli] Magic, Strike, Ice Property, Normal Attack 1 time
SKILL_20150317_000046	[Jukopus] Physical, Strike, Earth Property, Body Slam
SKILL_20150317_000047	[Jukopus] Physical, Strike, Earth Property, Jump and Body Slam
SKILL_20150317_000048	[Red Bushspider] Jump and Smash
SKILL_20150317_000049	[Red Bushspider] Normal Attack, Conical AoE
SKILL_20150317_000050	[Baby Dionia] Normal Attack, Conical AoE
SKILL_20150317_000051	[Mini Griba] Physical, Strike, Poison Property, One Punch
SKILL_20150317_000052	[Mini Griba] Physical, Strike, Poison Property, One-two Punch
SKILL_20150317_000053	[Mini Griba] Physical, Strike, Poison Property, Two-handed Strike
SKILL_20150317_000054	[Griba] Physical, Strike, Ice Property Attack 1 time
SKILL_20150317_000055	[Griba] Magic, Magic, Ice Property Attack 1 time
SKILL_20150317_000056	[Old Kepa] Normal Attack, Conical AoE
SKILL_20150317_000057	[Tree Ghost] One-handed Strike
SKILL_20150317_000058	[Tree Ghost] Two-handed clap
SKILL_20150317_000059	[Tree Ghost] Stomp ground
SKILL_20150317_000060	[Cockatrice] Magic, Magic, Fire Property, Fume Fire 3 times
SKILL_20150317_000061	[Zinute] Physical Pierce Fire Property Attack 1 time
SKILL_20150317_000062	[Zinute] Physical Slash Fire Property Attack 1 time
SKILL_20150317_000063	[Tontulia] Physical Strike Lightning Property Attack 1 time
SKILL_20150317_000064	[Tontulia] Physical Strike Lightning Property Attack 2 times
SKILL_20150317_000065	[Tontus] Physical Strike, Poison Property Attack 2 times
SKILL_20150317_000066	[Tontus] Physical Pierce, Poison Property Attack 1 time
SKILL_20150317_000067	[Tontus] Physical Strike, Poison Property Attack 1 time
SKILL_20150317_000068	[Vekarabe] Physical, Pierce, Poison Property, Forward Pierce Attack
SKILL_20150317_000069	[Vekarabe] Physical, Pierce, Poison Property, Forward Upper Pierce Attack
SKILL_20150317_000070	[Geppetto] Physical Strike, Earth Property Attack 2 times
SKILL_20150317_000071	[Geppetto] Physical Strike, Earth Property Attack 1 time
SKILL_20150317_000072	[Geppetto] Physical Strike, Earth Property Attack 1 time
SKILL_20150317_000073	[Boowook] Physical, Strike, Earth Property Attack 1 time
SKILL_20150317_000074	[Boowook] Physical, Strike, Earth Property Feet Stomp Attack 1 time,
SKILL_20150317_000075	[Desmodus] Physical, Pierce, Dark Property Tail Blow
SKILL_20150317_000076	[Desmodus] Physical, Pierce, Dark Property Body Blow
SKILL_20150317_000077	[Pino] Physical Blow, Earth Property Attack 1 time
SKILL_20150317_000078	[Cauliflower] Physical, Pierce, Poison Property, Smash with tentacle
