ITEM_20150317_000001	no_helmet
ITEM_20150317_000002	Murmillo Helmet
ITEM_20150317_000003	no_armband
ITEM_20150317_000004	Red Armband
ITEM_20150317_000005	Armband
ITEM_20150317_000006	Knotted Armband
ITEM_20150317_000007	Long Armband
ITEM_20150317_000008	Feathered Armband
ITEM_20150317_000009	Tasseled Armband
ITEM_20150317_000010	no_weapon
ITEM_20150317_000011	Rough Gladius
ITEM_20150317_000012	One-Handed Sword [Slash]
ITEM_20150317_000013	Gladius is one of the main weapons of the kingdom's soldiers, and widely used in the private sector.
ITEM_20150317_000014	Gladius
ITEM_20150317_000015	It will be created for improvement over the military production.
ITEM_20150317_000016	Low Falchion
ITEM_20150317_000017	This is a good sword to slash.
ITEM_20150317_000018	Low Kaskara
ITEM_20150317_000019	Many adventurers are choosing this sword as a simply manufacture.
ITEM_20150317_000020	Cinquedea
ITEM_20150317_000021	This one is recommended for those who desire a heavier and stronger sword.
ITEM_20150317_000022	Sabre
ITEM_20150317_000023	It is a primary weapon of the cavalry, and has a suitable structure for slashing. Hilt helps to protect your hands.
ITEM_20150317_000024	Shamshir
ITEM_20150317_000025	A large curved crescent is powerful to slash.
ITEM_20150317_000026	Scimitar
ITEM_20150317_000027	
ITEM_20150317_000028	Kris
ITEM_20150317_000029	The damage is so powerful as the windigly blade. This sword is pursuing both decoration and practicality.
ITEM_20150317_000030	Snickersnee
ITEM_20150317_000031	The cutting force is very good, so lots of experienced warrior use.
ITEM_20150317_000032	Rough Shamshir
ITEM_20150317_000033	Rough Scimitar
ITEM_20150317_000034	Soldier's Gladius
ITEM_20150317_000035	It will be provided to the regulars. Generally the performace is better than the private manufacturing Gladius.
ITEM_20150317_000036	Mayor's Falchion
ITEM_20150317_000037	
ITEM_20150317_000038	Rough Kaskara
ITEM_20150317_000039	Mopla
ITEM_20150317_000040	This sword have both practicality and aesthetics.
ITEM_20150317_000041	Heavy Gladius
ITEM_20150317_000042	Falchion
ITEM_20150317_000043	Heavy Falchion
ITEM_20150317_000044	Kaskara
ITEM_20150317_000045	Heavy Cinquedea
ITEM_20150317_000046	Heavy Sabre
ITEM_20150317_000047	Heavy Shamshir
ITEM_20150317_000048	Dunkel Sabre
ITEM_20150317_000049	Dunkel Snickersnee
ITEM_20150317_000050	Dunkel Falchion
ITEM_20150317_000051	Dunkel Kaskara
ITEM_20150317_000052	Dunkel Cinquedea
ITEM_20150317_000053	Dunkel Shamshir
ITEM_20150317_000054	Kozuka
ITEM_20150317_000055	No tooltip.
ITEM_20150317_000056	Badelaire
ITEM_20150317_000057	Saif
ITEM_20150317_000058	Colichemarde
ITEM_20150317_000059	Firangi
ITEM_20150317_000060	Thorne Cutter
ITEM_20150317_000061	Demion Sword
ITEM_20150317_000062	Master Sword
ITEM_20150317_000063	Panto Sword
ITEM_20150317_000064	
ITEM_20150317_000065	Flonas Sabre
ITEM_20150317_000066	
ITEM_20150317_000067	Golden Falchion
ITEM_20150317_000068	The golden symbol mean is good luck, So Golden Falchion is used to bring good luck in battle. Of course, it will make bad effects to the enemy.
ITEM_20150317_000069	Steel Falchion
ITEM_20150317_000070	If you pursue the precision of swordsmanship then Steel Falchion is a good choice.
ITEM_20150317_000071	Silver Falchion
ITEM_20150317_000072	It is able to attack with dragon forece of swordman as lightweight and hard.
ITEM_20150317_000073	Mandrapick
ITEM_20150317_000074	It has a power of Madragora so that your mind should be clear.
ITEM_20150317_000075	Wizard Blade
ITEM_20150317_000076	
ITEM_20150317_000077	Cheminis Sword
ITEM_20150317_000078	
ITEM_20150317_000079	Austas
ITEM_20150317_000080	
ITEM_20150317_000081	Miskas Sabre
ITEM_20150317_000082	
ITEM_20150317_000083	Imperni Sword
ITEM_20150317_000084	
ITEM_20150317_000085	Gritas
ITEM_20150317_000086	
ITEM_20150317_000087	Spatha
ITEM_20150317_000088	
ITEM_20150317_000089	Arras's Falchion
ITEM_20150317_000090	You have the opportunity to experience the performance of Falcion.
ITEM_20150317_000091	Smith Sword
ITEM_20150317_000092	When you attack, there is a 2% chance it'll add +600% damage.
ITEM_20150317_000093	Sometimes It can show you the grand soul of blacksmith.
ITEM_20150317_000094	Klavis Sword
ITEM_20150317_000095	Good sale even It has a poor performance.
ITEM_20150317_000096	Dio Sword
ITEM_20150317_000097	Thresh Sword
ITEM_20150317_000098	Sestas Sword
ITEM_20150317_000099	Drat Sword
ITEM_20150317_000100	Aston Sword
ITEM_20150317_000101	Debby Sword
ITEM_20150317_000102	Prima Sword
ITEM_20150317_000103	Trinity Sword
ITEM_20150317_000104	
ITEM_20150317_000105	Durandal
ITEM_20150317_000106	
ITEM_20150317_000107	Velniup
ITEM_20150317_000108	
ITEM_20150317_000109	Fortis
ITEM_20150317_000110	
ITEM_20150317_000111	Chapparition Cutter
ITEM_20150317_000112	According to one theory, This sword is used between Deamon's battle.
ITEM_20150317_000113	Deathweaver cutter
ITEM_20150317_000114	
ITEM_20150317_000115	Chapparition Sword
ITEM_20150317_000116	It is also the indirect evidence that disputes between Demons.
ITEM_20150317_000117	Bendras Sword
ITEM_20150317_000118	
ITEM_20150317_000119	Illizia
ITEM_20150317_000120	
ITEM_20150317_000121	Delete schedule
ITEM_20150317_000122	Two-Handed Sword [Slash]
ITEM_20150317_000123	Dunkel Bastard Sword
ITEM_20150317_000124	
ITEM_20150317_000125	Flamberge
ITEM_20150317_000126	
ITEM_20150317_000127	Nodachi
ITEM_20150317_000128	Nodachi with the right length increases slash power and dominates the distance between the enemy.
ITEM_20150317_000129	Claymore
ITEM_20150317_000130	Claymore of our kingdom is created with an emphasis on weight and power.
ITEM_20150317_000131	Colossus
ITEM_20150317_000132	Fan shape is incresing the power, It is likely to be applied to a variety of skils.
ITEM_20150317_000133	Caliburn
ITEM_20150317_000134	This sword is patronized by high rank sworman relatively.
ITEM_20150317_000135	Quaddara
ITEM_20150317_000136	This sword is two hand base unlike the seemingly appearance, It is patronized by swordman pursing practicality.
ITEM_20150317_000137	Light Claymore
ITEM_20150317_000138	It is possible to attack the enemy take by utilizing the structure of blade.
ITEM_20150317_000139	Rough Colossus
ITEM_20150317_000140	Ilwoon
ITEM_20150317_000141	Initially, Great Ruklys also used this sword.
ITEM_20150317_000142	Practice Bastard Sword
ITEM_20150317_000143	Bastard Sword
